# NODES
# 格式：编号 名称 地址 经度 纬度
# 共 25 个快递网点，覆盖全国主要城市
0 北京总仓 北京市大兴区 116.40 39.90
1 上海分仓 上海市浦东新区 121.47 31.23
2 广州分仓 广州市白云区 113.26 23.13
3 深圳分仓 深圳市宝安区 114.07 22.54
4 成都分仓 成都市双流区 104.07 30.57
5 武汉分仓 武汉市东西湖区 114.30 30.59
6 杭州分仓 杭州市萧山区 120.21 30.25
7 南京分仓 南京市江宁区 118.79 32.06
8 重庆分仓 重庆市渝北区 106.54 29.53
9 天津分仓 天津市武清区 117.20 39.13
10 西安分仓 西安市未央区 108.94 34.26
11 长沙分仓 长沙市长沙县 112.97 28.23
12 郑州分仓 郑州市新郑区 113.65 34.76
13 济南分仓 济南市历城区 117.00 36.67
14 沈阳分仓 沈阳市浑南区 123.43 41.80
15 哈尔滨分仓 哈尔滨市平房区 126.64 45.74
16 昆明分仓 昆明市官渡区 102.71 25.04
17 贵阳分仓 贵阳市观山湖区 106.71 26.57
18 南宁分仓 南宁市良庆区 108.32 22.82
19 福州分仓 福州市长乐区 119.30 26.07
20 合肥分仓 合肥市肥东县 117.28 31.82
21 南昌分仓 南昌市南昌县 115.86 28.68
22 太原分仓 太原市小店区 112.55 37.87
23 石家庄分仓 石家庄市正定县 114.51 38.04
24 兰州分仓 兰州市榆中县 103.83 36.06

# EDGES
# 格式：起点 终点 耗时(h) 费用(元)
# 北京 → 各地（华北枢纽）
0 1 6.0 450
0 2 10.0 850
0 4 8.0 700
0 5 5.0 380
0 7 4.5 350
0 9 1.5 120
0 10 5.5 420
0 12 3.5 280
0 13 2.0 160
0 14 7.0 550
0 15 9.0 720
0 22 3.0 240
0 23 2.5 200
# 上海 → 各地（华东枢纽）
1 0 6.0 450
1 6 2.0 150
1 7 1.5 120
1 20 2.5 200
1 21 3.5 280
1 19 4.0 320
# 广州 → 各地（华南枢纽）
2 0 10.0 850
2 3 1.5 120
2 11 4.0 340
2 18 3.5 280
2 19 5.0 400
# 深圳 → 各地
3 2 1.5 120
3 11 4.5 380
3 18 4.0 320
# 成都 → 各地（西南枢纽）
4 0 8.0 700
4 8 2.0 180
4 16 5.5 450
4 17 3.5 280
4 10 4.5 360
4 24 6.0 480
# 武汉 → 各地（华中枢纽）
5 0 5.0 380
5 1 4.0 320
5 2 5.0 420
5 4 5.5 460
5 12 3.0 200
5 11 2.0 160
5 21 3.0 200
5 20 2.5 180
# 杭州 → 各地
6 1 2.0 150
6 7 2.0 160
6 19 4.0 340
6 21 3.5 280
# 南京 → 各地
7 1 1.5 120
7 6 2.0 160
7 20 1.5 100
7 13 3.0 240
# 重庆 → 各地
8 4 2.0 180
8 16 6.0 500
8 17 3.0 220
8 11 4.5 380
# 天津 → 各地
9 0 1.5 120
9 13 2.5 200
9 14 5.5 440
9 23 2.5 200
# 西安 → 各地（西北枢纽）
10 0 5.5 420
10 4 4.5 360
10 12 2.5 200
10 5 4.0 340
10 22 3.5 280
10 24 4.0 300
# 长沙 → 各地
11 2 4.0 340
11 5 2.0 160
11 12 2.5 200
11 17 4.0 340
11 18 5.0 400
11 21 1.5 120
# 郑州 → 各地
12 0 3.5 280
12 5 3.0 200
12 10 2.5 200
12 13 2.0 160
12 22 3.0 200
12 23 2.5 180
# 济南 → 各地
13 0 2.0 160
13 7 3.0 240
13 9 2.5 200
13 12 2.0 160
13 23 2.0 150
# 沈阳 → 各地
14 0 7.0 550
14 9 5.5 440
14 15 3.5 280
# 哈尔滨 → 各地
15 0 9.0 720
15 14 3.5 280
# 昆明 → 各地
16 4 5.5 450
16 8 6.0 500
16 17 4.5 360
16 18 5.5 460
# 贵阳 → 各地
17 4 3.5 280
17 8 3.0 220
17 16 4.5 360
17 11 4.0 340
17 18 3.0 240
# 南宁 → 各地
18 2 3.5 280
18 16 5.5 460
18 17 3.0 240
# 福州 → 各地
19 2 5.0 400
19 6 4.0 340
19 21 3.5 300
# 合肥 → 各地
20 1 2.5 200
20 7 1.5 100
20 5 2.5 180
# 南昌 → 各地
21 1 3.5 280
21 5 3.0 200
21 11 1.5 120
21 19 3.5 300
# 太原 → 各地
22 0 3.0 240
22 10 3.5 280
22 12 3.0 200
22 23 1.5 120
# 石家庄 → 各地
23 0 2.5 200
23 12 2.5 180
23 13 2.0 150
23 22 1.5 120
# 兰州 → 各地
24 4 6.0 480
24 10 4.0 300
